StudentId,E,M,S,H,P,F,A,Avg
Student698,90,73,80,0,98,90,0,85
Student699,0,100,98,0,95,95,0,97
Student700,72,75,92,85,90,85,0,83
Student701,91,55,73,78,95,70,82,80
Student702,94,91,91,88,100,94,0,95
Student703,55,68,45,45,45,78,0,53
Student704,65,65,65,65,80,0,0,72
Student705,99,72,100,0,95,79,0,88
Student706,97,97,91,0,95,100,0,94
Student707,100,100,100,0,100,100,0,99
Student708,100,98,98,0,90,100,0,96
Student709,0,0,0,0,90,0,90,93
Student710,0,0,0,95,95,0,0,96
Student711,91,72,79,90,95,98,0,86
Student712,90,89,87,95,95,94,0,92
Student713,85,88,80,91,90,78,80,85
Student714,80,80,91,0,85,0,0,80
Student715,74,45,70,0,90,0,0,72
Student716,95,97,95,0,90,93,0,93
Student717,0,76,86,0,90,0,0,86
Student718,79,65,77,65,45,69,0,65
Student719,45,45,45,55,45,0,0,46
Student720,88,0,84,93,90,93,0,90
Student721,0,92,96,94,100,100,0,96
Student722,94,96,93,91,95,93,86,93
Student723,72,0,65,0,100,0,0,79
Student724,75,65,65,0,90,65,0,74
Student725,0,95,94,93,95,100,0,95
Student726,78,83,91,70,90,0,0,80
Student727,93,88,82,94,100,95,94,93
Student728,97,87,100,0,100,86,91,92
Student729,100,92,94,93,90,0,0,94
Student730,77,83,95,85,100,76,0,86
Student731,0,0,100,0,80,65,0,82
Student732,92,87,76,0,65,74,0,78
Student733,99,83,65,0,95,65,0,84
Student734,95,88,90,0,100,84,92,92
Student735,92,92,85,93,99,0,93,90
Student736,74,88,100,85,100,84,0,86
Student737,83,76,70,65,100,74,82,77
Student738,74,66,65,65,90,85,0,73
Student739,74,85,66,87,80,0,90,81
Student740,0,96,96,94,100,100,88,96
Student741,84,68,82,90,100,0,0,85
Student742,99,94,81,93,100,94,0,95
Student743,93,96,100,97,100,96,0,97
Student744,65,82,80,65,90,65,0,73
Student745,75,87,90,85,90,0,0,86
Student746,68,69,65,85,55,0,0,69
Student747,98,82,65,85,100,87,0,88
Student748,70,70,80,65,65,90,0,70
Student749,79,65,70,70,85,45,0,73
Student750,99,86,96,99,95,97,0,96
Student751,55,55,55,65,90,55,0,63
Student752,0,84,0,0,95,93,0,91
Student753,0,0,93,0,100,0,95,97
Student754,65,0,65,0,75,0,0,74
Student755,95,84,95,0,95,99,0,94
Student756,0,0,80,0,90,0,0,82
Student757,88,85,84,86,90,0,0,88
Student758,82,84,98,92,100,0,0,91
Student759,79,74,77,0,95,0,0,78
Student760,76,0,97,0,95,0,0,90
Student761,0,0,65,80,65,66,0,71
Student762,45,45,70,55,80,0,0,63
Student763,97,86,88,97,95,0,0,93
Student764,84,83,98,0,90,0,0,90
Student765,0,94,88,93,90,67,0,86
Student766,0,90,0,0,95,94,0,93
Student767,45,72,89,0,65,0,55,64
Student768,91,84,99,0,100,100,0,96
Student769,0,94,92,0,95,96,0,94
Student770,100,88,92,0,90,72,0,90
Student771,95,98,85,0,90,72,0,89
Student772,90,95,97,96,100,0,0,96
Student773,90,88,99,93,85,0,0,91
Student774,80,96,98,0,95,90,0,88
Student775,94,77,98,83,90,0,0,88
Student776,75,92,95,85,100,65,0,85
Student777,65,0,83,0,90,0,0,80
Student778,91,95,95,85,95,87,0,92
Student779,0,93,92,0,99,99,0,96
Student780,0,75,100,65,70,0,0,82
Student781,0,0,85,0,100,0,100,96
Student782,81,0,67,83,100,81,0,85
Student783,70,0,79,80,65,0,0,71
Student784,45,0,65,45,65,0,0,53
Student785,55,0,77,70,65,0,45,63
Student786,90,83,70,83,95,93,85,86
Student787,0,95,82,0,100,0,0,92
Student788,97,86,98,88,100,100,0,94
Student789,95,0,99,0,95,75,0,91
Student790,80,80,75,0,90,86,0,85
Student791,93,92,87,87,95,0,0,92
Student792,45,67,75,55,70,0,0,62
Student793,0,0,90,90,92,0,0,91
Student794,0,86,91,0,100,80,0,89
Student795,88,94,0,87,95,0,100,93
Student796,91,93,100,0,95,79,0,92
Student797,90,90,96,89,95,90,98,93
Student798,71,98,80,0,90,95,0,86
Student799,81,65,80,55,90,0,0,76
Student800,0,97,97,0,95,94,0,96
Student801,84,80,79,82,97,65,0,83
Student802,0,0,90,0,100,0,0,95
Student803,99,100,88,0,100,89,0,95
Student804,65,0,95,65,80,65,0,74
Student805,0,97,88,0,100,0,0,93
Student806,0,100,96,0,100,100,0,98
Student807,97,92,98,93,95,95,98,96
Student808,0,0,85,0,100,0,0,95
Student809,55,65,65,65,100,0,45,63
Student810,95,95,100,0,70,0,0,90
Student811,65,45,45,0,100,0,0,73
Student812,92,0,0,0,68,0,88,80
Student813,99,0,90,0,78,0,0,90
Student814,0,0,83,0,90,90,0,86
Student815,86,85,0,81,100,99,0,89
Student816,0,0,96,94,100,0,100,98
Student817,68,65,80,80,100,70,81,76
Student818,0,0,100,0,100,100,0,99
Student819,0,87,0,86,90,0,100,88
Student820,0,77,0,80,100,95,96,92
Student821,83,0,75,0,90,0,45,73
Student822,0,99,96,96,99,0,0,97
Student823,82,88,94,0,96,0,0,91
Student824,65,0,95,0,90,0,0,79
Student825,80,88,71,78,70,0,0,80
Student826,0,65,97,72,90,90,0,86
Student827,98,93,87,80,100,0,99,94
Student828,66,70,65,72,95,71,0,76
Student829,80,80,71,74,100,65,0,79
Student830,45,0,65,0,65,0,0,65
Student831,0,0,90,0,95,0,0,96
Student832,99,94,93,0,80,0,0,92
Student833,0,86,90,0,90,0,0,89
Student834,95,90,95,80,80,0,0,89
Student835,100,95,83,86,95,98,0,94
Student836,45,45,45,0,65,45,0,50
Student837,0,65,0,75,80,0,0,73
Student838,70,82,95,0,85,0,0,80
Student839,96,100,92,98,92,93,0,96
Student840,55,77,70,88,88,0,0,78
Student841,96,90,95,0,99,99,0,96
Student842,93,0,0,0,65,0,80,86
Student843,70,85,65,65,85,55,0,70
Student844,94,97,98,93,100,95,0,94
Student845,88,79,87,0,100,0,0,91
Student846,0,94,93,0,95,0,0,94
Student847,97,89,100,0,100,100,0,91
Student848,0,79,0,90,85,95,0,90
Student849,92,95,85,0,100,70,100,91
Student850,82,65,65,65,85,0,0,72
Student851,0,94,90,0,100,100,0,97
Student852,85,65,97,0,85,55,0,76
Student853,80,65,75,0,90,80,0,81
Student854,85,70,85,94,90,88,0,84
Student855,75,72,69,0,80,70,0,77
Student856,86,84,85,0,65,0,0,85
Student857,97,100,95,0,100,100,97,98
Student858,0,96,96,95,99,97,91,95
Student859,80,92,100,70,95,71,0,85
Student860,45,45,45,0,95,0,0,64
Student861,0,0,70,0,65,0,0,74
Student862,65,65,80,65,80,70,68,73
Student863,85,67,87,86,80,93,0,84
Student864,0,0,0,0,90,85,0,88
Student865,76,75,100,0,100,77,0,83
Student866,65,72,0,65,85,0,0,70
Student867,86,67,81,91,69,87,90,82
Student868,86,89,93,98,100,92,0,92
Student869,98,95,95,90,100,95,0,95
Student870,88,91,94,0,90,91,0,91
Student871,94,82,97,0,85,93,0,88
Student872,91,89,88,98,100,95,0,93
Student873,84,92,92,86,100,0,0,88
Student874,88,0,80,98,98,0,0,88
Student875,96,74,0,85,95,94,0,90
Student876,45,0,55,68,45,0,0,52
Student877,88,75,73,85,90,0,0,82
Student878,70,82,55,0,90,0,0,80
Student879,76,77,100,65,95,0,0,84
Student880,87,75,79,66,100,82,0,81
Student881,84,77,85,0,78,85,0,84
Student882,83,65,96,0,75,0,0,81
Student883,78,75,77,83,95,77,0,81
Student884,93,99,90,0,100,85,0,94
Student885,97,75,91,85,45,0,0,79
Student886,95,88,88,92,85,0,99,91
Student887,72,78,75,68,95,0,65,74
Student888,71,0,65,86,95,0,0,84
Student889,45,45,45,45,45,0,0,45
Student890,95,88,95,0,95,84,0,92
Student891,82,86,88,92,90,80,0,85
Student892,93,0,0,0,92,0,0,87
Student893,80,0,86,0,90,65,0,79
Student894,87,0,0,90,100,92,97,94
Student895,89,100,93,0,99,100,93,95
Student896,70,65,65,0,85,0,0,71
Student897,85,65,85,0,75,77,81,77
Student898,91,82,0,89,100,87,0,91
Student899,0,95,0,0,45,0,0,75
Student900,87,0,100,0,100,87,0,95
Student901,45,45,75,0,75,0,0,62
Student902,95,97,85,92,100,99,0,94
Student903,65,65,75,0,90,0,0,72
Student904,85,87,100,87,100,82,0,89
Student905,77,90,85,86,78,65,99,84
Student906,95,97,98,98,100,95,0,97
Student907,79,87,99,0,90,78,0,84
Student908,75,75,65,65,90,0,0,72
Student909,0,91,97,82,95,0,0,88
Student910,94,94,78,0,90,93,0,91
Student911,87,73,90,80,90,0,76,84
Student912,80,65,82,90,80,0,0,80
Student913,91,80,89,75,90,0,0,86
Student914,83,88,95,77,95,0,0,88
Student915,65,83,45,0,100,86,73,79
Student916,96,100,100,0,100,91,0,96
Student917,92,95,93,0,99,99,0,96
Student918,92,0,76,90,90,0,0,87
Student919,0,88,96,94,100,100,0,95
Student920,0,0,65,0,100,86,0,84
Student921,71,65,78,0,65,65,0,68
Student922,85,81,91,0,98,0,73,84
Student923,85,86,65,0,80,0,0,80
Student924,85,82,90,0,85,0,0,84
Student925,85,80,80,69,80,0,0,78
Student926,91,67,97,0,100,0,0,89
Student927,97,99,98,0,90,94,0,96
Student928,99,98,0,84,100,80,0,93
Student929,88,82,100,86,85,90,0,87
Student930,75,69,78,67,45,65,65,66
Student931,65,0,87,68,80,0,0,72
Student932,90,89,85,0,95,93,0,93
Student933,90,80,77,0,69,0,0,74
Student934,75,89,45,0,90,100,0,81
Student935,85,0,0,73,55,0,0,65
Student936,65,45,45,65,45,0,0,55
Student937,98,92,100,0,90,96,0,94
Student938,45,75,45,0,85,0,0,59
Student939,91,87,92,0,100,99,0,94
Student940,0,100,97,0,90,100,0,97
Student941,65,72,100,70,80,0,0,75
Student942,89,73,89,0,99,0,0,87
Student943,100,88,83,87,100,89,100,92
Student944,85,77,93,85,100,98,0,90
Student945,95,98,93,0,90,89,0,95
Student946,96,89,100,0,100,82,0,93
Student947,95,92,97,0,100,100,0,97
Student948,94,93,94,81,95,100,97,93
Student949,55,65,81,45,91,0,0,64
Student950,65,99,89,0,90,84,0,85
Student951,65,90,85,45,90,0,0,79
Student952,65,55,70,0,65,0,0,67
Student953,88,91,86,89,100,95,0,92
Student954,98,89,93,92,95,89,0,94
Student955,45,65,45,67,65,0,0,57
Student956,95,94,92,98,100,93,0,94
Student957,90,96,90,0,98,95,0,94
Student958,97,0,65,0,95,82,0,85
Student959,65,65,88,74,85,0,0,74
Student960,55,45,75,78,75,0,0,65
Student961,65,65,80,65,65,0,0,73
Student962,100,90,100,0,95,91,0,95
Student963,81,84,65,55,80,73,0,74
Student964,84,85,95,85,90,71,0,83
Student965,93,99,92,0,100,99,0,96
Student966,94,94,88,86,100,0,0,90
Student967,77,85,81,71,95,90,0,84
Student968,93,93,86,98,95,95,0,93
Student969,65,68,66,70,85,0,91,73
Student970,55,65,65,0,76,0,0,68
Student971,83,93,88,75,95,85,0,89
Student972,78,74,65,67,75,81,93,78
Student973,83,85,95,0,95,78,0,91
Student974,0,95,85,0,90,94,0,90
Student975,98,98,91,0,90,95,0,95
Student976,95,78,99,95,99,100,0,95
Student977,82,85,65,0,65,0,0,71
Student978,68,65,0,0,68,92,0,73
Student979,93,66,84,0,85,70,0,82
Student980,0,90,95,92,100,0,0,95
Student981,72,65,72,65,100,67,0,77
Student982,82,85,86,65,77,65,0,74
Student983,77,91,85,0,95,98,0,89
Student984,99,81,73,0,90,87,0,86
Student985,65,80,65,75,90,71,0,75
Student986,96,90,96,0,97,96,0,94
Student987,65,92,65,70,75,0,90,77
Student988,74,0,72,0,90,0,0,73
Student989,65,75,70,75,100,0,0,78
Student990,65,77,87,87,100,100,0,86
Student991,45,55,55,45,84,45,0,55
Student992,99,95,94,88,95,96,0,94
Student993,89,99,86,88,100,90,0,91
Student994,91,76,65,70,85,65,0,71
Student995,78,86,80,0,80,0,0,82
Student996,100,87,0,96,100,95,0,95
Student997,97,97,89,0,100,96,94,96
Student998,85,78,80,88,100,100,0,88
Student999,0,90,88,65,90,83,0,83
Student1000,85,77,76,78,90,86,0,85
Student1001,75,68,55,65,85,0,0,73
Student1002,94,97,90,0,95,95,0,94
Student1003,85,84,65,65,95,93,0,81
Student1004,95,86,95,94,90,72,94,89
Student1005,83,95,88,83,100,78,93,89
Student1006,91,94,96,80,100,97,94,93
Student1007,45,84,80,81,65,0,0,69
Student1008,65,0,0,0,45,0,77,64
Student1009,94,82,96,0,89,0,0,90
Student1010,75,89,80,0,75,0,0,81
Student1011,86,88,87,69,90,86,0,85
Student1012,67,89,86,68,75,0,99,80
Student1013,92,73,86,66,100,91,0,84
Student1014,87,88,65,82,90,84,0,85
Student1015,74,85,65,65,95,77,89,80
Student1016,83,88,90,95,96,92,0,90
Student1017,76,81,82,79,95,76,0,82
Student1018,95,83,93,98,90,94,98,94
Student1019,95,97,92,93,98,94,0,96
Student1020,86,65,65,65,95,0,0,77
Student1021,82,100,85,86,93,98,0,90
Student1022,80,73,84,84,98,95,90,88
Student1023,68,83,67,72,95,65,92,76
Student1024,67,78,71,65,100,69,98,79
Student1025,90,86,92,100,100,100,0,94
Student1026,93,100,100,99,90,100,0,96
Student1027,85,95,95,0,99,97,0,96
Student1028,75,65,97,65,75,0,0,75
Student1029,68,65,90,0,70,0,0,71
Student1030,85,83,100,81,90,0,0,89
Student1031,85,88,99,0,99,92,73,90
Student1032,83,92,95,93,98,97,0,93
Student1033,55,69,45,71,55,0,45,57
Student1034,95,90,90,92,95,80,0,90
Student1035,0,86,95,91,80,0,0,90
Student1036,97,98,96,99,95,100,0,98
Student1037,85,86,92,0,95,99,84,88
Student1038,0,55,0,0,75,45,0,58
Student1039,85,78,82,90,95,88,0,88
Student1040,95,95,85,0,95,89,0,94
Student1041,65,0,65,68,85,0,55,70
Student1042,81,90,81,65,96,0,0,84
Student1043,73,90,87,0,90,90,0,89
Student1044,77,83,93,70,95,0,0,86
Student1045,95,98,93,96,95,100,0,96
Student1046,68,72,65,65,90,66,0,70
Student1047,85,97,94,98,95,91,0,92
Student1048,89,77,85,67,95,86,0,83
Student1049,82,76,88,74,95,94,0,85
Student1050,55,55,94,71,90,93,0,79
Student1051,96,99,88,87,100,100,0,95
Student1052,65,0,0,45,45,0,0,50
Student1053,90,97,94,99,98,99,0,96
Student1054,88,91,89,0,95,84,0,88
Student1055,97,92,99,98,100,98,100,98
Student1056,86,0,80,0,90,0,0,84
Student1057,91,65,82,97,97,98,0,91
Student1058,81,65,70,72,90,81,91,78
Student1059,78,65,100,83,95,78,0,84
Student1060,90,0,92,0,80,0,0,89
Student1061,93,84,82,76,83,0,0,87
Student1062,70,45,85,77,95,45,65,69
Student1063,83,88,97,90,100,78,82,88
Student1064,93,94,77,83,100,85,0,90
Student1065,90,78,98,89,100,100,0,92
Student1066,95,95,97,95,100,99,100,97
Student1067,85,79,75,76,80,71,0,80
Student1068,66,65,75,85,70,55,78,72
Student1069,86,80,100,92,90,82,0,89
Student1070,94,95,93,0,90,100,0,94
Student1071,82,71,65,0,85,77,0,78
Student1072,95,94,89,0,100,96,0,95
Student1073,98,96,96,96,85,93,0,94
Student1074,65,65,100,72,75,91,0,76
Student1075,98,93,95,92,100,100,0,96
Student1076,93,93,95,93,100,0,0,93
Student1077,78,96,81,0,98,97,0,89
Student1078,87,97,81,0,75,0,0,88
Student1079,89,72,82,86,90,80,0,84
Student1080,100,95,0,90,85,94,0,93
Student1081,98,87,94,91,90,94,92,92
Student1082,95,72,95,99,100,100,89,94
Student1083,84,88,83,83,95,70,0,84
Student1084,55,69,91,0,100,93,0,83
Student1085,0,96,97,0,100,100,0,99
Student1086,0,82,94,87,95,0,0,92
Student1087,100,99,92,88,99,100,100,97
Student1088,90,92,94,0,95,0,0,93
Student1089,75,80,71,65,100,0,0,76
Student1090,95,84,90,94,90,96,0,91
Student1091,72,88,85,0,100,100,0,91
Student1092,78,92,90,73,95,89,0,85
Student1093,88,74,78,74,100,82,90,86
Student1094,96,88,92,80,100,86,0,90
Student1095,0,82,79,0,75,98,0,88
Student1096,0,99,86,0,90,99,0,93
Student1097,67,65,45,66,72,0,0,66
Student1098,94,100,88,0,90,75,0,88
Student1099,45,45,45,45,55,0,0,46
Student1100,90,91,87,0,100,93,0,92
Student1101,99,82,94,0,99,96,0,95
Student1102,99,96,95,0,95,94,0,90
Student1103,83,93,91,0,90,84,83,89
Student1104,92,100,90,93,100,96,0,96
Student1105,78,90,76,75,85,75,83,80
Student1106,75,74,72,82,65,0,0,72
Student1107,81,0,90,0,100,0,0,92
Student1108,75,92,75,81,95,92,0,84
Student1109,87,76,71,81,70,88,0,80
Student1110,75,55,72,0,90,0,0,78
Student1111,85,96,89,93,99,89,0,93
Student1112,94,87,75,73,95,78,0,84
Student1113,84,90,85,94,100,82,0,89
Student1114,99,92,93,91,95,100,0,96
Student1115,97,100,95,85,100,84,96,95
Student1116,90,90,99,90,75,90,0,89
Student1117,75,89,86,82,90,73,90,85
Student1118,71,0,65,83,100,0,0,82
Student1119,71,75,86,0,95,0,0,85
Student1120,77,91,100,85,90,94,0,90
Student1121,65,80,65,0,65,0,0,69
Student1122,85,90,73,87,100,84,0,85
Student1123,83,85,85,88,99,88,0,87
Student1124,71,65,80,83,70,74,0,75
Student1125,93,74,94,70,85,0,0,84
Student1126,90,77,81,97,82,86,0,86
Student1127,92,86,0,94,90,100,0,93
Student1128,87,91,86,90,90,0,71,86
Student1129,90,92,86,73,95,67,0,84
Student1130,85,75,77,85,75,68,89,80
Student1131,95,100,95,93,100,98,100,97
Student1132,97,96,94,96,100,87,99,96
Student1133,75,70,67,79,90,0,0,76
Student1134,45,0,45,45,0,0,0,45
Student1135,95,93,90,90,100,97,0,96
Student1136,91,77,82,0,90,0,0,84
Student1137,78,93,90,95,68,0,0,83
Student1138,98,97,100,88,95,95,0,96
Student1139,70,78,65,81,82,66,80,77
Student1140,79,78,69,86,95,0,0,83
Student1141,0,0,80,0,70,0,0,73
Student1142,100,100,100,99,100,100,100,100
Student1143,95,98,88,93,100,99,0,97
Student1144,85,77,73,93,95,81,97,86
Student1145,98,98,100,95,95,100,100,98
Student1146,97,100,95,0,100,89,0,97
Student1147,45,85,45,65,55,67,0,61
Student1148,88,85,88,86,100,85,0,91
Student1149,97,99,70,82,98,0,0,90
Student1150,92,90,85,55,92,0,0,86
Student1151,81,83,90,72,90,0,0,83
Student1152,91,75,85,83,95,85,0,89
Student1153,96,93,92,97,100,100,0,97
Student1154,70,55,91,77,80,55,0,75
Student1155,95,86,98,98,94,93,0,95
Student1156,98,91,94,88,85,92,0,92
Student1157,76,77,65,77,100,87,0,82
Student1158,80,70,84,84,95,92,0,84
Student1159,94,94,86,91,100,100,0,95
Student1160,88,78,95,96,90,82,0,88
Student1161,80,75,86,95,95,72,70,82
Student1162,97,84,95,93,100,95,95,94
Student1163,89,83,82,94,95,80,0,87
Student1164,83,77,82,80,81,90,0,84
Student1165,72,81,77,80,90,77,0,78
Student1166,80,87,84,92,100,86,0,89
Student1167,90,94,97,88,95,85,0,92
Student1168,45,45,45,45,45,0,0,45
Student1169,91,98,99,91,100,74,91,93
Student1170,95,96,90,91,86,93,96,93
Student1171,95,97,96,95,95,0,0,96
Student1172,75,93,0,77,85,75,82,83
Student1173,75,91,92,80,100,0,80,85
Student1174,65,65,65,80,97,0,0,78
Student1175,94,84,85,94,100,83,87,90
Student1176,89,73,90,87,98,0,0,90
Student1177,91,85,100,91,95,0,0,90
Student1178,97,92,95,100,100,95,0,96
Student1179,85,72,70,78,70,0,55,74
Student1180,93,87,66,78,70,85,0,78
Student1181,86,87,100,88,65,90,0,85
Student1182,98,94,96,98,95,99,0,97
Student1183,95,99,100,98,95,98,0,97
Student1184,65,65,78,0,90,0,0,77
Student1185,99,0,100,81,100,81,94,92
Student1186,86,68,100,82,90,87,0,83
Student1187,94,93,96,92,90,95,0,93
Student1188,96,0,100,91,100,72,95,91
Student1189,87,86,76,75,100,74,0,81
Student1190,86,0,95,95,90,0,0,88
Student1191,86,79,0,89,90,84,86,86
Student1192,98,100,93,0,80,100,0,95
Student1193,94,75,100,97,100,92,0,93
Student1194,80,73,45,81,85,0,87,76
Student1195,95,96,100,99,100,100,0,98
Student1196,96,100,92,92,90,98,0,93
Student1197,94,99,92,92,89,100,0,94
Student1198,92,86,94,0,90,90,0,90
Student1199,100,84,93,88,100,76,0,93
Student1200,89,73,100,88,95,92,0,89
Student1201,91,85,84,70,95,72,65,83
Student1202,95,96,100,100,90,98,0,96
Student1203,93,78,79,0,85,0,0,84
Student1204,72,65,55,70,66,65,0,70
Student1205,88,94,91,89,95,88,96,92
Student1206,95,76,100,87,98,79,0,89
Student1207,75,76,68,90,90,0,0,79
Student1208,84,78,90,68,85,0,0,77
Student1209,82,77,75,78,100,0,70,77
Student1210,95,95,88,85,100,99,83,92
Student1211,94,97,90,91,95,99,0,93
Student1212,75,91,74,76,95,70,0,81
Student1213,80,73,83,83,90,100,0,84
Student1214,100,100,97,99,100,100,0,100
Student1215,88,82,100,90,100,75,0,89
Student1216,45,45,65,65,45,78,92,62
Student1217,95,93,100,96,90,98,0,95
Student1218,45,45,45,45,45,0,0,45
Student1219,67,79,65,85,80,84,0,77
Student1220,80,76,85,89,90,81,0,84
Student1221,55,45,86,55,90,0,0,64
Student1222,67,80,67,65,95,0,55,75
Student1223,90,86,100,88,95,88,0,90
Student1224,97,95,95,0,90,99,98,96
Student1225,99,97,94,0,100,78,97,95
Student1226,88,72,82,81,90,80,94,85
Student1227,45,68,65,45,70,0,65,58
Student1228,91,91,100,92,85,86,0,91
Student1229,99,72,83,90,100,92,0,89
Student1230,78,83,82,92,90,81,0,84
Student1231,93,100,100,99,95,95,0,97
Student1232,93,92,98,0,100,75,97,94
Student1233,91,95,95,90,100,100,100,95
Student1234,85,96,93,97,90,80,86,90
Student1235,77,0,95,81,90,80,0,85
Student1236,94,91,88,90,95,98,0,94
Student1237,91,65,96,0,95,94,70,86
Student1238,98,100,98,92,100,100,0,98
Student1239,77,78,65,0,100,0,0,82
Student1240,95,83,79,82,98,93,0,88
Student1241,65,76,70,78,70,0,0,74
Student1242,86,86,78,85,90,100,78,86
Student1243,97,92,100,92,100,100,0,97
Student1244,93,95,82,91,100,95,88,92
Student1245,94,92,80,91,100,96,0,90
Student1246,78,77,88,90,100,84,0,86
Student1247,92,95,90,0,90,96,95,92
Student1248,77,84,85,78,98,76,0,82
Student1249,85,76,84,87,98,86,0,88
Student1250,82,73,65,75,80,0,0,77
Student1251,65,94,45,0,75,73,0,71
Student1252,83,88,87,76,70,100,0,82
Student1253,80,0,73,85,55,0,80,72
Student1254,71,84,85,84,70,92,0,81
Student1255,95,99,88,95,95,88,99,94
Student1256,81,77,95,70,90,0,0,82
Student1257,69,85,0,89,90,91,0,85
Student1258,94,80,94,86,100,98,0,94
Student1259,67,65,90,85,90,78,0,81
Student1260,94,94,77,86,95,80,0,88
Student1261,95,95,99,100,100,100,96,98
Student1262,89,91,91,82,95,97,96,92
Student1263,90,86,79,88,95,98,0,90
Student1264,96,100,100,93,100,98,100,98
Student1265,94,79,88,87,100,96,96,91
Student1266,45,90,65,55,45,0,0,58
Student1267,80,65,65,65,100,76,0,76
Student1268,75,82,75,78,95,0,0,87
Student1269,98,100,99,93,100,100,100,99
Student1270,94,94,99,96,100,78,98,95
Student1271,75,55,95,0,80,65,0,73
Student1272,88,75,100,65,80,0,0,80
Student1273,91,89,91,93,100,90,88,92
Student1274,65,55,45,75,65,0,0,59
Student1275,88,100,91,100,100,100,77,94
Student1276,73,78,67,75,95,0,86,80
Student1277,90,97,99,84,100,97,91,94
Student1278,98,100,96,100,100,96,0,98
Student1279,85,80,79,0,75,89,0,82
Student1280,76,75,94,90,100,95,84,89
Student1281,76,82,65,85,80,75,0,77
Student1282,92,97,95,89,100,95,96,95
Student1283,96,74,75,83,98,96,0,89
Student1284,99,100,100,100,100,100,98,99
Student1285,87,78,100,89,95,94,0,90
Student1286,74,83,55,55,80,0,0,74
Student1287,98,91,92,88,99,100,95,96
Student1288,87,70,65,65,55,0,73,72
Student1289,95,95,95,98,100,100,0,98
Student1290,71,70,95,71,65,0,67,74
Student1291,80,65,100,77,90,65,0,80
Student1292,83,89,100,86,95,98,0,91
Student1293,96,99,100,98,90,100,0,98
Student1294,83,87,89,83,100,100,0,90
Student1295,80,67,65,87,100,84,82,82
Student1296,94,86,85,95,95,92,0,92
Student1297,83,94,88,87,100,95,92,90
Student1298,45,45,45,45,45,45,45,45
Student1299,97,100,99,99,100,99,0,98
Student1300,72,70,88,73,90,67,0,79
Student1301,75,90,83,75,100,0,90,86
Student1302,96,95,97,100,95,97,0,97
Student1303,84,79,65,88,90,74,0,83
Student1304,80,82,90,70,98,0,0,84
Student1305,81,81,75,75,90,0,82,83
Student1306,55,65,55,65,82,0,77,65
Student1307,80,98,72,88,95,95,0,88
Student1308,68,68,65,70,85,65,92,72
Student1309,88,73,90,85,100,97,100,90
Student1310,85,76,91,87,100,92,0,89
Student1311,55,76,55,65,85,78,0,70
Student1312,83,80,95,75,80,70,0,80
Student1313,99,100,90,0,100,99,0,98
Student1314,95,97,88,94,100,96,88,95
Student1315,93,90,88,87,90,97,0,91
Student1316,88,90,86,85,100,100,90,92
Student1317,97,93,100,95,100,98,0,96
Student1318,90,88,100,90,90,93,0,91
Student1319,87,90,92,94,95,95,0,91
Student1320,79,65,72,79,95,84,0,79
Student1321,86,65,65,76,90,65,70,77
Student1322,80,83,96,94,95,95,94,90
Student1323,94,97,100,88,95,96,0,95
Student1324,90,86,100,94,90,96,0,94
Student1325,95,76,100,88,85,77,0,87
Student1326,93,85,96,92,90,71,0,88
Student1327,99,96,98,0,100,100,0,99
Student1328,80,80,100,85,55,88,0,82
Student1329,73,78,83,68,70,86,0,75
Student1330,80,70,85,66,70,75,0,75
Student1331,94,84,98,99,95,90,0,93
Student1332,90,95,91,96,98,98,0,94
Student1333,85,65,83,83,90,88,0,84
Student1334,88,92,85,91,95,99,82,90
Student1335,84,70,91,83,90,76,0,81
Student1336,81,71,90,79,85,80,0,79
Student1337,85,90,80,81,100,96,0,89
Student1338,87,75,90,92,95,89,0,90
Student1339,95,93,94,87,100,93,0,94
Student1340,98,70,69,97,100,100,99,92
Student1341,90,0,93,0,93,0,93,91
Student1342,98,78,74,70,95,91,0,86
Student1343,92,87,88,85,90,98,0,90
Student1344,90,65,65,65,90,0,0,79
Student1345,84,83,74,80,95,87,0,84
Student1346,70,71,79,90,80,0,0,79
Student1347,78,0,0,76,81,0,0,78
Student1348,94,91,98,92,95,95,88,93
Student1349,86,93,81,72,100,83,84,86
Student1350,92,92,86,90,95,76,89,90
Student1351,83,83,90,96,100,98,0,87
Student1352,98,100,90,91,90,92,93,94
Student1353,90,65,88,78,100,100,0,88
Student1354,83,66,71,88,89,65,0,78
Student1355,85,70,100,83,95,95,0,87
Student1356,81,90,84,80,90,0,0,80
Student1357,96,100,99,94,95,100,100,98
Student1358,88,78,88,70,90,0,93,85
Student1359,55,65,65,65,90,65,65,67
Student1360,94,100,92,93,95,100,96,96
Student1361,88,88,65,70,75,45,0,74
Student1362,86,91,100,98,90,94,0,90
Student1363,88,92,88,77,95,93,0,91
Student1364,70,68,78,71,92,66,0,74
Student1365,86,69,100,81,88,0,0,83
Student1366,97,100,80,84,100,89,80,91
Student1367,74,65,65,71,80,0,88,72
Student1368,73,0,90,71,70,72,0,77
Student1369,93,88,82,86,100,100,0,92
Student1370,95,98,97,99,100,98,98,97
Student1371,65,65,68,71,80,77,0,70
Student1372,55,69,45,65,90,0,0,63
Student1373,0,0,0,0,90,0,65,72
Student1374,91,91,97,97,90,95,0,94
Student1375,68,65,65,70,95,0,0,75
Student1376,65,75,65,72,80,74,0,75
